iter	Accuracy	Logloss
69	0.7158854365	0.5902666451
70	0.7158854365	0.5902664518
71	0.7158854365	0.5902664188
72	0.7158854365	0.5902663426
73	0.7158854365	0.5902657238
74	0.7158854365	0.5902656703
75	0.7158854365	0.5902649146
76	0.7158854365	0.5902648719
77	0.7158854365	0.5902648712
78	0.7158854365	0.5902640672
79	0.7158854365	0.5902639599
80	0.7158854365	0.5902638212
81	0.7158854365	0.590263534
82	0.7158854365	0.5902635104
83	0.7158854365	0.590263214
84	0.7158854365	0.5902616851
85	0.7158854365	0.5902616827
86	0.7158854365	0.5902614446
87	0.7158854365	0.5902614241
88	0.7158854365	0.5902613118
89	0.7158854365	0.5902613117
90	0.7158854365	0.5902613114
91	0.7158854365	0.5902613113
92	0.7158854365	0.5902613113
93	0.7158854365	0.5902605676
94	0.7158854365	0.5902605613
95	0.7158854365	0.5902603193
96	0.7158854365	0.5902602716
97	0.7158854365	0.5902602715
98	0.7158854365	0.5902602709
99	0.7158854365	0.5902601192
100	0.7158854365	0.5902597577
101	0.7158854365	0.5902597058
102	0.7158854365	0.5902594382
103	0.7158854365	0.5902593568
104	0.7158854365	0.5902592441
105	0.7158854365	0.5902588562
106	0.7158854365	0.590258802
107	0.7158854365	0.5902587899
108	0.7158854365	0.590258787
109	0.7158854365	0.5902584481
110	0.7158854365	0.5902584369
111	0.7158854365	0.5902582279
112	0.7158854365	0.5902577898
113	0.7158854365	0.5902577682
114	0.7158854365	0.5902574737
115	0.7158854365	0.5902572224
116	0.7158854365	0.5902570068
117	0.7158854365	0.5902569854
118	0.7158854365	0.590256857
119	0.7158854365	0.5902565944
120	0.7158854365	0.590256588
121	0.7158854365	0.5902565879
122	0.7158854365	0.5902565707
123	0.7158854365	0.5902563037
124	0.7158854365	0.5902563036
125	0.7158854365	0.5902563036
126	0.7158854365	0.5902562464
127	0.7158854365	0.5902562464
128	0.7158854365	0.5902562464
129	0.7158854365	0.5902562444
130	0.7158854365	0.5902561531
131	0.7158854365	0.5902561529
132	0.7158854365	0.5902561455
133	0.7158854365	0.5902561079
134	0.7158854365	0.5902560899
135	0.7158854365	0.5902560894
136	0.7158854365	0.5902560889
137	0.7158854365	0.5902560888
138	0.7158854365	0.5902560851
139	0.7158854365	0.5902558797
140	0.7158854365	0.5902557812
141	0.7158854365	0.5902557761
142	0.7158854365	0.5902557727
